Order ID,Date,Customer ID,Product ID,Product Name,Category,Quantity,Price per Unit,Total Sale Amount,Payment Method,Payment Status,Country,Continent
1,2023-02-07,Cust-1,3001,Laptop,Electronics,4,1000,4000,Bank Transfer,Pending,USA,North America
2,2023-06-13,Cust-472,3003,Smartphone,Electronics,5,700,3500,Credit Card,Completed,Brazil,South America
3,2023-05-12,Cust-353,3005,Smartwatch,Accessories,5,200,1000,PayPal,Pending,South Africa,Africa
4,2023-01-27,Cust-934,3003,Smartphone,Electronics,3,700,2100,Credit Card,Pending,USA,North America
5,2023-03-29,Cust-728,3004,Tablet,Electronics,3,300,900,Bank Transfer,Failed,Brazil,South America
6,2023-04-20,Cust-814,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Failed,France,Europe
7,2023-12-25,Cust-142,3004,Tablet,Electronics,1,300,300,Credit Card,Failed,Canada,North America
8,2023-06-03,Cust-847,3002,Headphones,Accessories,5,50,250,Bank Transfer,Failed,Germany,Europe
9,2023-06-04,Cust-590,3001,Laptop,Electronics,3,1000,3000,Credit Card,Pending,Australia,Australia
10,2023-04-02,Cust-881,3001,Laptop,Electronics,1,1000,1000,Bank Transfer,Pending,Japan,Asia
11,2023-04-02,Cust-69,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Pending,India,Asia
12,2023-08-23,Cust-137,3002,Headphones,Accessories,2,50,100,Credit Card,Failed,UK,Europe
13,2023-08-21,Cust-922,3005,Smartwatch,Accessories,3,200,600,PayPal,Completed,Australia,Australia
14,2023-03-18,Cust-95,3005,Smartwatch,Accessories,4,200,800,Bank Transfer,Failed,Germany,Europe
15,2023-05-31,Cust-406,3003,Smartphone,Electronics,5,700,3500,Credit Card,Failed,USA,North America
16,2023-10-05,Cust-484,3004,Tablet,Electronics,3,300,900,PayPal,Failed,UK,Europe
17,2023-06-17,Cust-953,3003,Smartphone,Electronics,1,700,700,PayPal,Failed,South Africa,Africa
18,2023-03-14,Cust-570,3004,Tablet,Electronics,5,300,1500,PayPal,Failed,Australia,Australia
19,2023-12-07,Cust-490,3004,Tablet,Electronics,1,300,300,Bank Transfer,Completed,Brazil,South America
20,2023-05-25,Cust-520,3005,Smartwatch,Accessories,2,200,400,PayPal,Failed,USA,North America
21,2023-07-28,Cust-216,3002,Headphones,Accessories,3,50,150,PayPal,Completed,Germany,Europe
22,2023-07-22,Cust-493,3001,Laptop,Electronics,5,1000,5000,Credit Card,Pending,Australia,Australia
23,2023-12-04,Cust-379,3001,Laptop,Electronics,4,1000,4000,Credit Card,Completed,Germany,Europe
24,2023-10-11,Cust-469,3004,Tablet,Electronics,2,300,600,Credit Card,Completed,Brazil,South America
25,2023-04-22,Cust-837,3002,Headphones,Accessories,3,50,150,Credit Card,Completed,Germany,Europe
26,2023-02-15,Cust-914,3003,Smartphone,Electronics,3,700,2100,Bank Transfer,Failed,Australia,Australia
27,2023-11-05,Cust-833,3002,Headphones,Accessories,2,50,100,PayPal,Completed,France,Europe
28,2023-11-19,Cust-793,3002,Headphones,Accessories,2,50,100,Bank Transfer,Failed,Canada,North America
29,2023-05-05,Cust-809,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Pending,France,Europe
